Course,Date,From,To
Software Architecture & Testing,2023-05-08,09:00 AM,10:00 AM
Creativity & Innovation,2023-05-08,10:45 AM,12:45 PM
Employee & Employment Trends,2023-05-08,01:30 PM,03:30 PM
Research Methods For Computing And Technology,2023-05-09,08:30 AM,09:30 AM
Data Structures,2023-05-09,01:30 PM,03:30 PM
Software Architecture & Testing,2023-05-09,03:45 PM,05:45 PM
Co Curriculum,2023-05-09,06:45 PM,08:45 PM
Research Methods For Computing And Technology,2023-05-10,10:45 AM,12:45 PM
Design Methods,2023-05-10,01:30 PM,03:30 PM
Islamic Civilization & Asian Civilization,2023-05-10,06:45 PM,09:45 PM
Data Structures,2023-05-11,01:30 PM,03:30 PM
Mobile App Engineering,2023-05-11,03:45 PM,05:45 PM
Design Methods,2023-05-12,08:45 AM,09:45 AM
Creativity & Innovation,2023-05-12,02:30 PM,03:30 PM
Mobile App Engineering,2023-05-12,03:45 PM,05:45 PM
Software Architecture & Testing,2023-05-15,09:00 AM,10:00 AM
Creativity & Innovation,2023-05-15,10:45 AM,12:45 PM
Employee & Employment Trends,2023-05-15,01:30 PM,03:30 PM
Research Methods For Computing And Technology,2023-05-16,08:30 AM,09:30 AM
Data Structures,2023-05-16,01:30 PM,03:30 PM
Software Architecture & Testing,2023-05-16,03:45 PM,05:45 PM
Co Curriculum,2023-05-16,06:45 PM,08:45 PM
Research Methods For Computing And Technology,2023-05-17,10:45 AM,12:45 PM
Design Methods,2023-05-17,01:30 PM,03:30 PM
Islamic Civilization & Asian Civilization,2023-05-17,06:45 PM,09:45 PM
Data Structures,2023-05-18,01:30 PM,03:30 PM
Mobile App Engineering,2023-05-18,03:45 PM,05:45 PM
Design Methods,2023-05-19,08:45 AM,09:45 AM
Creativity & Innovation,2023-05-19,02:30 PM,03:30 PM
Mobile App Engineering,2023-05-19,03:45 PM,05:45 PM
Software Architecture & Testing,2023-05-22,09:00 AM,10:00 AM
Creativity & Innovation,2023-05-22,10:45 AM,12:45 PM
Employee & Employment Trends,2023-05-22,01:30 PM,03:30 PM
Research Methods For Computing And Technology,2023-05-23,08:30 AM,09:30 AM
Data Structures,2023-05-23,01:30 PM,03:30 PM
Software Architecture & Testing,2023-05-23,03:45 PM,05:45 PM
Research Methods For Computing And Technology,2023-05-24,10:45 AM,12:45 PM
Design Methods,2023-05-24,01:30 PM,03:30 PM
Islamic Civilization & Asian Civilization,2023-05-24,06:45 PM,09:45 PM
Data Structures,2023-05-25,01:30 PM,03:30 PM
Mobile App Engineering,2023-05-25,03:45 PM,05:45 PM
Design Methods,2023-05-26,08:45 AM,09:45 AM
Creativity & Innovation,2023-05-26,02:30 PM,03:30 PM
Mobile App Engineering,2023-05-26,03:45 PM,05:45 PM
